male term,female term,comment
baritone,mezzo,
paramour,mistress,
male_host,hostess,
menservants,maids,
mr.,mrs.,
headmasters,headmistresses,
airman,airwoman,
househusband,housewife,
colt,filly,
lions,lionesses,
masseur,masseuse,
bulls,cows,
lion,lioness,
prostatic_utricle,womb,
gents,ladies,
gelding,mare,
roosters,hens,
stailor,seamstress',
busboy,busgirl,
heros,heroines,
